"","ageph","postal","freq","agecar","sexph","fuel","split","use","fleet","sportc","cover","power","claimAm","long","lat","logclaimAm","group_ageph"
"39306",31,4350,1,">10","Female","Petrol","Twice","Private","No","No","MTPL","66-110",804.86069623,5.32984503224966,50.6844382532371,6.69066921428251,"[29,33)"
"39315",35,4400,1,"2-5","Female","Gasoil","Twice","Private","No","No","MTPL+++","<66",4399.4407522,5.43052541861326,50.596887929955,8.38923271005551,"[33,37)"
"39324",35,4430,1,"6-10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",887.88023768,5.51798017472964,50.658111570025,6.78883686641926,"[33,37)"
"39330",71,4470,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL+","<66",171.59189785,5.34990962660663,50.5967540101845,5.14511897061284,"[65,100]"
"39334",66,4480,1,">10","Female","Petrol","Thrice","Private","No","No","MTPL","<66",171.59189785,5.3781833250306,50.557444084275,5.14511897061284,"[65,100]"
"39339",40,4500,1,"6-10","Female","Petrol","Monthly","Private","No","No","MTPL","<66",110.1143037,5.21275122517591,50.5085989915919,4.70151895082168,"[37,42)"
"39358",29,4620,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL+","<66",161.37868463,5.67237762445059,50.6182084898219,5.08375368162497,"[29,33)"
"39374",48,4690,1,"6-10","Female","Gasoil","Monthly","Professional","No","No","MTPL+","<66",11898.889189,5.6000490957819,50.7656990088237,9.38420032928048,"[46,50)"
"39385",49,4710,1,">10","Female","Petrol","Thrice","Private","No","No","MTPL","<66",991.57409909,5.98002593836221,50.6787410164591,6.8992936794992,"[46,50)"
"39387",54,4720,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL","<66",1139.7896376,6.00157243564146,50.7256162271215,7.03859899594003,"[50,56)"
"39406",35,4850,1,"2-5","Female","Petrol","Twice","Private","No","No","MTPL","<66",6342.4549887,5.95292600685112,50.7142517930045,8.75502119467254,"[33,37)"
"39407",31,4850,1,"2-5","Female","Petrol","Twice","Private","No","No","MTPL","<66",659.89256295,5.95292600685112,50.7142517930045,6.49207703836072,"[29,33)"
"39408",49,4860,1,"6-10","Female","Petrol","Monthly","Private","No","No","MTPL","66-110",1973.5795081,5.78871943770039,50.5684867904789,7.58760418215557,"[46,50)"
"39436",33,5060,1,"6-10","Female","Petrol","Thrice","Professional","No","No","MTPL+","66-110",679.10431112,4.61011609341325,50.4464317895078,6.52077474038409,"[33,37)"
"39438",25,5060,1,"6-10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",1393.781343,4.61011609341325,50.4464317895078,7.23977572320669,"[25,29)"
"39445",82,5080,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL","<66",403.37234351,4.82023058858586,50.5196374335254,5.99986006469193,"[65,100]"
"39446",50,5080,2,"6-10","Female","Petrol","Twice","Private","No","No","MTPL","<66",433.68972159,4.82023058858586,50.5196374335254,6.07232935120609,"[50,56)"
"39465",52,5300,1,"2-5","Female","Petrol","Twice","Private","No","No","MTPL","<66",140.35731373,5.04729078500334,50.4866654932304,4.94419141210212,"[50,56)"
"39469",30,5300,1,">10","Female","Petrol","Twice","Private","No","No","MTPL","<66",140.35731373,5.04729078500334,50.4866654932304,4.94419141210212,"[29,33)"
"39471",65,5300,1,"6-10","Female","Petrol","Twice","Private","No","No","MTPL","<66",140.35731373,5.04729078500334,50.4866654932304,4.94419141210212,"[65,100]"
"39474",36,5310,1,">10","Female","Gasoil","Twice","Private","No","No","MTPL+","<66",195.78630587,4.88349403850405,50.5866906154335,5.27702378827362,"[33,37)"
"39506",54,5640,1,"2-5","Female","Gasoil","Once","Private","No","No","MTPL+","66-110",145.01771199,4.65528893156154,50.332750647106,4.97685588661584,"[50,56)"
"39528",44,6000,1,">10","Female","Petrol","Twice","Private","No","No","MTPL","<66",161.97362909,4.4383532510193,50.4167838476249,5.08743353858667,"[42,46)"
"39540",33,6000,1,"6-10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",150.37221213,4.4383532510193,50.4167838476249,5.01311363467161,"[33,37)"
"39550",43,6000,1,"6-10","Female","Gasoil","Thrice","Private","No","No","MTPL","<66",757.53782235,4.4383532510193,50.4167838476249,6.63007346663209,"[42,46)"
"39576",41,6180,1,"6-10","Female","Petrol","Twice","Private","Yes","No","MTPL+","66-110",161.97362909,4.36150371786195,50.4614535256081,5.08743353858667,"[37,42)"
"39587",46,6200,1,">10","Female","Petrol","Twice","Private","No","No","MTPL","<66",1426.3793415,4.51150406128235,50.3970730648991,7.26289458347995,"[46,50)"
"39588",55,6200,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL+","<66",145.01771199,4.51150406128235,50.3970730648991,4.97685588661584,"[50,56)"
"39592",47,6220,1,">10","Female","Gasoil","Once","Private","No","No","MTPL","<66",226.599471,4.51778914086073,50.4710013956736,5.42318401408103,"[46,50)"
"39597",38,6240,1,"6-10","Female","Petrol","Twice","Private","No","No","MTPL","<66",29115.739008,4.53635373437469,50.4343388341818,10.2790341663293,"[37,42)"
"39602",49,6280,1,"2-5","Female","Gasoil","Twice","Private","No","No","MTPL+++","<66",6873.7156017,4.51759948069633,50.3475223204129,8.83546008351054,"[46,50)"
"39642",67,6790,1,">10","Female","Petrol","Twice","Professional","No","No","MTPL+","<66",3021.8716457,5.79399859510852,49.5659720965387,8.01363166863484,"[65,100]"
"39659",23,6900,1,"6-10","Female","Gasoil","Once","Private","No","No","MTPL","<66",3611.4368157,5.33301748132742,50.2092574542014,8.1918609820312,"[0,25)"
"39690",50,7050,1,"6-10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",150.37221213,3.89085874064519,50.5251725291202,5.01311363467161,"[50,56)"
"39693",26,7060,1,"2-5","Female","Gasoil","Monthly","Professional","No","No","MTPL+","<66",93.877277832,4.03739830575778,50.5905346937175,4.54198837431189,"[25,29)"
"39713",45,7090,1,">10","Female","Petrol","Twice","Private","No","No","MTPL+","<66",947.89526003,4.13204101220912,50.6159904125073,6.85424401095066,"[42,46)"
"39718",24,7090,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL","<66",995.14376585,4.13204101220912,50.6159904125073,6.90288721501262,"[0,25)"
"39730",30,7100,1,"0-1","Female","Gasoil","Thrice","Private","No","No","MTPL+++","<66",3396.3643936,4.16727576894823,50.4673715457051,8.13046084249942,"[29,33)"
"39733",28,7100,1,"6-10","Female","Gasoil","Twice","Private","No","No","MTPL+","<66",64.625841908,4.16727576894823,50.4673715457051,4.16861436033368,"[25,29)"
"39738",28,7100,1,">10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",593.90330665,4.16727576894823,50.4673715457051,6.38671652269448,"[25,29)"
"39749",45,7130,1,"6-10","Female","Gasoil","Twice","Private","No","No","MTPL+","<66",180.56564344,4.11090790204592,50.4249413041868,5.19609438722687,"[42,46)"
"39752",40,7140,2,"6-10","Female","Gasoil","Thrice","Private","No","No","MTPL","<66",3276.8549253,4.22552550131867,50.4567074181848,8.09463937713599,"[37,42)"
"39778",44,7300,1,"6-10","Female","Petrol","Twice","Private","No","No","MTPL+","<66",3833.6485713,3.77824668279185,50.4290655641455,8.25157225829334,"[42,46)"
"39793",37,7330,1,"6-10","Female","Petrol","Twice","Private","No","No","MTPL","<66",271.22030545,3.80693495541922,50.4506485752801,5.60293142586667,"[37,42)"
"39797",23,7330,2,"6-10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",129.25168382,3.80693495541922,50.4506485752801,4.86176154092457,"[0,25)"
"39819",23,7370,1,"6-10","Female","Petrol","Twice","Private","No","No","MTPL","<66",150.81842047,3.77674345704923,50.3875215303007,5.01607659977177,"[0,25)"
"39837",35,7500,1,"6-10","Female","Gasoil","Twice","Private","No","No","MTPL+","<66",1850.9465814,3.37706137907174,50.5919722372652,7.52345245283777,"[33,37)"
"39845",38,7500,1,">10","Female","Petrol","Thrice","Private","No","No","MTPL","<66",150.37221213,3.37706137907174,50.5919722372652,5.01311363467161,"[37,42)"
"39849",28,7500,1,"6-10","Female","Gasoil","Thrice","Private","No","No","MTPL","66-110",3021.8716457,3.37706137907174,50.5919722372652,8.01363166863484,"[25,29)"
"39882",48,7700,1,">10","Female","Gasoil","Thrice","Private","No","No","MTPL","<66",131.97851259,3.21269178912139,50.7430600063497,4.88263912592662,"[46,50)"
"39902",53,7800,2,"2-5","Female","Petrol","Twice","Private","Yes","No","MTPL","66-110",3285.2585158,3.77463496345669,50.6347780107297,8.09720062365188,"[50,56)"
"39912",29,7830,1,"6-10","Female","Gasoil","Monthly","Private","No","No","MTPL","<66",84.928321587,3.94868817946778,50.6485324185019,4.4418076252865,"[29,33)"
"39915",47,7850,1,"6-10","Female","Petrol","Twice","Private","No","No","MTPL+","66-110",201.76053981,4.01968244981599,50.6776658278814,5.30708154771858,"[46,50)"
"39917",43,7860,1,"6-10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",330.54122593,3.81682377252028,50.7078823189901,5.80073138957614,"[42,46)"
"39920",40,7860,1,">10","Female","Petrol","Twice","Private","No","No","MTPL+","<66",150.37221213,3.81682377252028,50.7078823189901,5.01311363467161,"[37,42)"
"39924",41,7870,1,"6-10","Female","Petrol","Twice","Private","No","No","MTPL","<66",51.016487398,3.90135491140175,50.5703409278834,3.93214886279358,"[37,42)"
"39925",25,7870,1,"2-5","Female","Gasoil","Twice","Private","No","No","MTPL+++","<66",1426.3793415,3.90135491140175,50.5703409278834,7.26289458347995,"[25,29)"
"39941",39,7950,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL+","<66",145.01771199,3.77570877354988,50.5685338746716,4.97685588661584,"[37,42)"
"39943",44,7950,1,">10","Female","Petrol","Thrice","Private","No","No","MTPL","<66",1426.3793415,3.77570877354988,50.5685338746716,7.26289458347995,"[42,46)"
"39960",32,8000,2,"6-10","Female","Petrol","Once","Private","No","No","MTPL","<66",1435.3035084,3.20265056930382,51.2336587807216,7.26913160994138,"[29,33)"
"39980",23,8000,1,"6-10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",4643.4423486,3.20265056930382,51.2336587807216,8.44321125563344,"[0,25)"
"39989",27,8020,1,"2-5","Female","Petrol","Twice","Private","No","No","MTPL+++","66-110",1601.8631677,3.21965688657586,51.1194242555372,7.37892271055965,"[25,29)"
"39996",24,8210,1,"6-10","Female","Gasoil","Once","Private","No","No","MTPL","<66",3842.349634,3.14517037382738,51.1315295738908,8.25383934231134,"[0,25)"
"39998",29,8210,2,"6-10","Female","Petrol","Twice","Private","No","No","MTPL","66-110",2707.4434989,3.14517037382738,51.1315295738908,7.90376011029175,"[29,33)"
"40003",25,8300,1,"6-10","Female","Gasoil","Once","Private","No","No","MTPL","<66",70.352182331,3.31605817935192,51.3331353752976,4.25351380413114,"[25,29)"
"40017",51,8400,1,">10","Female","Petrol","Once","Professional","Yes","No","MTPL+","<66",2040.2380769,2.91536259023205,51.2099252385326,7.62082178439158,"[50,56)"
"40025",30,8400,1,"2-5","Female","Gasoil","Once","Private","No","No","MTPL","<66",247.89352477,2.91536259023205,51.2099252385326,5.51299931836922,"[29,33)"
"40034",43,8400,1,"6-10","Female","Petrol","Thrice","Private","No","No","MTPL","<66",1152.5313647,2.91536259023205,51.2099252385326,7.04971598899073,"[42,46)"
"40035",24,8400,1,"2-5","Female","Gasoil","Thrice","Private","No","No","MTPL+++","<66",128.53279259,2.91536259023205,51.2099252385326,4.85618406703142,"[0,25)"
"40049",35,8450,1,">10","Female","Petrol","Twice","Private","No","No","MTPL","<66",123.72365821,2.96685958701588,51.2368598225354,4.81805051584077,"[33,37)"
"40050",54,8470,1,">10","Female","Petrol","Once","Private","No","No","MTPL","<66",1491.0051835,2.93257870323869,51.1511705972809,7.30720579128452,"[50,56)"
"40073",32,8500,1,"6-10","Female","Petrol","Twice","Private","No","No","MTPL+","66-110",131.97851259,3.26599445268688,50.8154770171782,4.88263912592662,"[29,33)"
"40074",29,8500,1,"2-5","Female","Petrol","Twice","Private","No","No","MTPL+++","<66",129.25168382,3.26599445268688,50.8154770171782,4.86176154092457,"[29,33)"
"40080",44,8500,1,"2-5","Female","Gasoil","Once","Professional","No","No","MTPL+","<66",1485.6011046,3.26599445268688,50.8154770171782,7.30357475357618,"[42,46)"
"40099",24,8500,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL","<66",62.692272415,3.26599445268688,50.8154770171782,4.13823819307365,"[0,25)"
"40113",62,8520,1,"2-5","Female","Gasoil","Once","Private","No","No","MTPL+","<66",185.92014358,3.26101793205734,50.8601650662625,5.22531724593089,"[56,65)"
"40114",26,8520,1,"2-5","Female","Gasoil","Once","Private","No","No","MTPL","<66",638.69766658,3.26101793205734,50.8601650662625,6.45943120717117,"[25,29)"
"40166",41,8580,1,"2-5","Female","Petrol","Twice","Private","No","No","MTPL","<66",131.97851259,3.43773670092896,50.7776147376902,4.88263912592662,"[37,42)"
"40171",34,8580,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL","<66",117.00574369,3.43773670092896,50.7776147376902,4.76222302496034,"[33,37)"
"40185",24,8630,1,"2-5","Female","Gasoil","Twice","Private","No","No","MTPL","<66",62.989744645,2.65423729079139,51.0466085182996,4.14297192972818,"[0,25)"
"40199",27,8700,1,"6-10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",1436.047189,3.35322189446565,51.006509641951,7.26964961048886,"[25,29)"
"40223",49,8760,3,">10","Female","Gasoil","Once","Private","No","No","MTPL","<66",3292.9927937,3.28464744182122,50.951028655188,8.0995520940047,"[46,50)"
"40224",26,8770,1,"6-10","Female","Gasoil","Once","Private","No","No","MTPL+++","<66",247.89352477,3.25024480767078,50.9213741987528,5.51299931836922,"[25,29)"
"40228",26,8780,2,"6-10","Female","Petrol","Once","Private","No","No","MTPL","66-110",555.40544225,3.32624327105543,50.9302738232161,6.31969837361835,"[25,29)"
"40243",48,8790,2,">10","Female","Petrol","Once","Private","No","No","MTPL","<66",2726.8287725,3.41608721948592,50.8785081096418,7.9108945911786,"[46,50)"
"40247",45,8790,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL","<66",60.13896911,3.41608721948592,50.8785081096418,4.09665803591031,"[42,46)"
"40252",42,8790,1,">10","Female","Petrol","Once","Private","No","Yes","MTPL","66-110",24541.458953,3.41608721948592,50.8785081096418,10.1081191685352,"[42,46)"
"40253",19,8790,1,">10","Female","Petrol","Once","Private","No","No","MTPL","<66",3594.4561092,3.41608721948592,50.8785081096418,8.18714796780549,"[0,25)"
"40264",37,8800,1,"6-10","Female","Gasoil","Once","Private","No","No","MTPL","<66",131.97851259,3.12343259815059,50.9364725954081,4.88263912592662,"[37,42)"
"40279",55,8800,1,"2-5","Female","Gasoil","Once","Private","No","No","MTPL","<66",76.499941745,3.12343259815059,50.9364725954081,4.33728997932893,"[50,56)"
"40285",51,8800,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL","<66",247.89352477,3.12343259815059,50.9364725954081,5.51299931836922,"[50,56)"
"40291",25,8800,1,"2-5","Female","Gasoil","Once","Private","No","No","MTPL","<66",698.14253382,3.12343259815059,50.9364725954081,6.54842328509626,"[25,29)"
"40294",26,8820,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL","<66",140.0598415,3.08505152718782,51.062213779525,4.94206977056887,"[25,29)"
"40297",24,8820,1,"2-5","Female","Gasoil","Once","Private","No","No","MTPL","<66",79.05324505,3.08505152718782,51.062213779525,4.37012161341381,"[0,25)"
"40322",30,8870,1,"2-5","Female","Gasoil","Once","Private","No","No","MTPL+","<66",95.240692218,3.19543521685576,50.9218851866706,4.55640728973589,"[29,33)"
"40324",27,8870,2,">10","Female","Gasoil","Once","Private","No","No","MTPL","<66",190.48138444,3.19543521685576,50.9218851866706,5.24955447031683,"[25,29)"
"40326",27,8880,1,"2-5","Female","Gasoil","Once","Private","No","No","MTPL","<66",247.89352477,3.1388266944564,50.8717852031538,5.51299931836922,"[25,29)"
"40333",35,8900,1,">10","Female","Petrol","Twice","Private","No","No","MTPL","<66",423.12945744,2.86091858557072,50.8496371004073,6.04767817818121,"[33,37)"
"40340",66,8930,1,"2-5","Female","Petrol","Once","Private","No","No","MTPL","<66",64.625841908,3.14404123964595,50.7925066291024,4.16861436033368,"[65,100]"
"40345",26,8930,1,"2-5","Female","Petrol","Once","Private","No","No","MTPL+","66-110",594.94445946,3.14404123964595,50.7925066291024,6.38846805574329,"[25,29)"
"40366",47,8940,1,"0-1","Female","Petrol","Once","Private","No","No","MTPL+","<66",89.985349493,3.04585802044121,50.8101748358615,4.4996468736685,"[46,50)"
"40369",53,8950,1,">10","Female","Petrol","Twice","Private","No","No","MTPL","<66",61.502383496,2.81378053364892,50.7375820758682,4.119075930094,"[50,56)"
"40400",33,9000,1,"0-1","Female","Gasoil","Once","Private","No","No","MTPL","<66",145.01771199,3.7078589016912,51.058541172233,4.97685588661584,"[33,37)"
"40403",35,9000,2,"6-10","Female","Gasoil","Once","Private","No","No","MTPL+","<66",1042.4914291,3.7078589016912,51.058541172233,6.94936873215235,"[33,37)"
"40432",24,9000,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL","<66",3569.6667567,3.7078589016912,51.058541172233,8.18022752495454,"[0,25)"
"40435",29,9000,1,"6-10","Female","Gasoil","Once","Private","No","No","MTPL","<66",62.097327956,3.7078589016912,51.058541172233,4.12870295992996,"[29,33)"
"40436",26,9000,1,">10","Female","Gasoil","Once","Private","No","No","MTPL+","<66",762.29737803,3.7078589016912,51.058541172233,6.63633673943696,"[25,29)"
"40442",46,9000,1,"2-5","Female","Gasoil","Once","Private","No","No","MTPL+++","<66",1859.2014358,3.7078589016912,51.058541172233,7.52790233892494,"[46,50)"
"40443",31,9000,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL","<66",673.30360264,3.7078589016912,51.058541172233,6.51219634625725,"[29,33)"
"40445",29,9000,1,"6-10","Female","Petrol","Twice","Private","No","No","MTPL","<66",428.33522146,3.7078589016912,51.058541172233,6.05990611672932,"[29,33)"
"40446",28,9000,1,">10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",694.27539483,3.7078589016912,51.058541172233,6.54286870431518,"[25,29)"
"40449",28,9000,1,"2-5","Female","Gasoil","Once","Private","No","No","MTPL+++","66-110",247.89352477,3.7078589016912,51.058541172233,5.51299931836922,"[25,29)"
"40451",34,9000,1,">10","Female","Petrol","Once","Private","No","No","MTPL","<66",70.798390675,3.7078589016912,51.058541172233,4.25983626986223,"[33,37)"
"40456",27,9000,2,">10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",1735.2546734,3.7078589016912,51.058541172233,7.4589094674303,"[25,29)"
"40462",25,9000,1,">10","Female","Gasoil","Thrice","Private","No","No","MTPL","<66",79.177191813,3.7078589016912,51.058541172233,4.37168827518646,"[25,29)"
"40464",25,9000,1,">10","Female","Petrol","Twice","Private","No","No","MTPL","<66",619.73381193,3.7078589016912,51.058541172233,6.42929005025145,"[25,29)"
"40465",57,9060,1,"6-10","Female","Gasoil","Once","Professional","No","No","MTPL","<66",3021.8716457,3.79762373140417,51.1988866587459,8.01363166863484,"[56,65)"
"40466",42,9060,1,"6-10","Female","Petrol","Twice","Private","No","No","MTPL","66-110",145.01771199,3.79762373140417,51.1988866587459,4.97685588661584,"[42,46)"
"40475",26,9070,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL","66-110",19955.428744,3.79900151375198,51.0443803877298,9.90125650279449,"[25,29)"
"40476",37,9070,1,"2-5","Female","Gasoil","Once","Private","No","No","MTPL","<66",60.13896911,3.79900151375198,51.0443803877298,4.09665803591031,"[37,42)"
"40514",26,9140,1,">10","Female","Petrol","Twice","Private","No","No","MTPL","<66",3029.3084514,4.19473525812269,51.1329799618549,8.01608963859272,"[25,29)"
"40517",50,9150,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL","66-110",1018.3961785,4.28102315473967,51.1577781530427,6.92598429478133,"[50,56)"
"40518",49,9150,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL","<66",197.37282442,4.28102315473967,51.1577781530427,5.28509444994381,"[46,50)"
"40530",49,9200,1,"6-10","Female","Gasoil","Monthly","Private","No","No","MTPL+","<66",881.23669122,4.08039060107805,51.0276765618446,6.78132625185074,"[46,50)"
"40531",33,9200,1,">10","Female","Petrol","Once","Private","No","No","MTPL+","66-110",2201.9638125,4.08039060107805,51.0276765618446,7.69710488322388,"[33,37)"
"40539",25,9200,4,">10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",3051.3213964,4.08039060107805,51.0276765618446,8.02333002049937,"[25,29)"
"40552",28,9255,1,">10","Female","Petrol","Once","Private","No","No","MTPL","<66",1426.3793415,4.18881549833783,51.0119402920625,7.26289458347995,"[25,29)"
"40555",45,9260,1,">10","Female","Petrol","Monthly","Private","No","No","MTPL","<66",995.61476355,3.94277805479986,50.9988651887152,6.9033603991802,"[42,46)"
"40564",32,9280,1,">10","Female","Gasoil","Twice","Private","No","No","MTPL+","<66",3033.2003798,4.1081742401403,50.9927132855062,8.01737357204107,"[29,33)"
"40567",26,9280,1,">10","Female","Gasoil","Twice","Professional","No","No","MTPL","<66",109.84162083,4.1081742401403,50.9927132855062,4.69903951763271,"[25,29)"
"40580",43,9300,1,"6-10","Female","Petrol","Twice","Private","No","No","MTPL","66-110",1248.6644736,4.03635389965774,50.9417482183295,7.12982983800763,"[42,46)"
"40583",50,9300,1,">10","Female","Petrol","Twice","Private","No","No","MTPL","<66",56.990721345,4.03635389965774,50.9417482183295,4.04288847116284,"[50,56)"
"40587",27,9400,1,">10","Female","Petrol","Monthly","Private","No","No","MTPL","<66",1611.307911,3.9920638209427,50.8234095122427,7.38480149526771,"[25,29)"
"40617",23,9600,1,"6-10","Female","Gasoil","Once","Private","No","No","MTPL","<66",131.97851259,3.59685030024239,50.7496565854546,4.88263912592662,"[0,25)"
"40618",44,9600,1,">10","Female","Petrol","Once","Private","No","No","MTPL+","<66",1426.3793415,3.59685030024239,50.7496565854546,7.26289458347995,"[42,46)"
"40619",26,9600,1,"6-10","Female","Petrol","Thrice","Private","No","No","MTPL","<66",545.3657545,3.59685030024239,50.7496565854546,6.3014566787445,"[25,29)"
"40653",34,9800,1,">10","Female","Gasoil","Once","Professional","No","No","MTPL+","<66",3096.1653351,3.50541882652353,50.9902836582006,8.03791963609382,"[33,37)"
"40659",31,9810,1,"2-5","Female","Gasoil","Once","Private","No","No","MTPL","<66",62.097327956,3.59944537711938,50.9570023893413,4.12870295992996,"[29,33)"
"40668",35,9840,1,"6-10","Female","Gasoil","Once","Private","No","No","MTPL+","<66",70.376971683,3.65837626391973,50.9859660836214,4.25386610287734,"[33,37)"
"40673",30,9840,1,"6-10","Female","Gasoil","Once","Private","No","No","MTPL","<66",62.097327956,3.65837626391973,50.9859660836214,4.12870295992996,"[29,33)"
"40674",25,9840,2,"2-5","Female","Petrol","Once","Private","No","No","MTPL+","<66",632.54990716,3.65837626391973,50.9859660836214,6.44975912208966,"[25,29)"
"40678",27,9850,1,"2-5","Female","Gasoil","Twice","Private","No","No","MTPL","<66",3166.8893577,3.54313948885289,51.0579068489757,8.06050510993215,"[25,29)"
"40682",46,9860,1,"6-10","Female","Gasoil","Once","Private","No","No","MTPL","<66",60.13896911,3.78661207236947,50.9387768972352,4.09665803591031,"[46,50)"
"40688",44,9870,1,">10","Female","Gasoil","Once","Private","No","No","MTPL","<66",95.240692218,3.4620233163238,50.9372042417796,4.55640728973589,"[42,46)"
"40692",47,9880,2,"2-5","Female","Gasoil","Monthly","Private","No","No","MTPL","66-110",4797.3842275,3.42564472645489,51.0758658466463,8.47582609575118,"[46,50)"
"40694",21,9880,1,"6-10","Female","Gasoil","Once","Private","No","No","MTPL","<66",60.13896911,3.42564472645489,51.0758658466463,4.09665803591031,"[0,25)"
"40703",36,9890,1,">10","Female","Gasoil","Once","Private","No","No","MTPL","<66",1800.698564,3.67531768688057,50.9289514572858,7.49592995970749,"[33,37)"
"40706",31,9890,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL","66-110",619.73381193,3.67531768688057,50.9289514572858,6.42929005025145,"[29,33)"
"40707",25,9890,1,"2-5","Female","Gasoil","Once","Private","No","No","MTPL+++","<66",161.52742074,3.67531768688057,50.9289514572858,5.08467491611416,"[25,29)"
"40717",46,9940,1,"6-10","Female","Gasoil","Once","Private","No","No","MTPL","<66",145.01771199,3.69744829163471,51.1433346177609,4.97685588661584,"[46,50)"
"40718",31,9940,1,"2-5","Female","Gasoil","Once","Private","No","No","MTPL","<66",64.625841908,3.69744829163471,51.1433346177609,4.16861436033368,"[29,33)"
"40728",26,9960,1,"6-10","Female","Gasoil","Once","Private","No","No","MTPL+","<66",470.67543549,3.74566093360024,51.2281557822348,6.15416875985601,"[25,29)"
"40736",25,9990,1,"2-5","Female","Gasoil","Once","Private","No","No","MTPL","<66",62.097327956,3.42249949425462,51.1994457816787,4.12870295992996,"[25,29)"
"40759",35,1200,1,"6-10","Female","Petrol","Monthly","Private","No","No","MTPL","66-110",1401.8130932,4.42080965022475,50.8479827493696,7.24552174429939,"[33,37)"
"40770",34,1420,1,"2-5","Female","Gasoil","Once","Private","No","No","MTPL+","<66",79.598610805,4.34807985922446,50.691982356108,4.37699664049955,"[33,37)"
"40794",30,1850,1,"2-5","Female","Gasoil","Once","Private","No","No","MTPL+","<66",62.097327956,4.37431901237712,50.9405747540772,4.12870295992996,"[29,33)"
"40805",52,2000,1,"6-10","Female","Gasoil","Monthly","Private","No","No","MTPL+","<66",1882.6769526,4.38841821750176,51.215508128703,7.54044995398155,"[50,56)"
"40806",38,2000,1,">10","Female","Petrol","Once","Private","No","No","MTPL","<66",72.707170816,4.38841821750176,51.215508128703,4.28644001538368,"[37,42)"
"40808",44,2000,1,">10","Female","Petrol","Once","Private","No","No","MTPL","<66",905.03446959,4.38841821750176,51.215508128703,6.80797303091935,"[42,46)"
"40817",41,2150,2,"6-10","Female","Petrol","Once","Private","No","No","MTPL","<66",3911.0657191,4.47704177485091,51.1913966395942,8.27156517827069,"[37,42)"
"40834",47,2620,1,"6-10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",150.37221213,4.32950097239207,51.1438569823233,5.01311363467161,"[46,50)"
"40845",33,2845,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL+","66-110",129.00379029,4.32524205704131,51.1072617440338,4.85984178602305,"[33,37)"
"40859",40,3000,1,"6-10","Female","Gasoil","Once","Professional","No","No","MTPL","<66",1406.3495447,4.69711028609935,50.8758536071319,7.24875265078965,"[37,42)"
"40884",25,3630,1,">10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",231.48297343,5.65932244841685,50.9734663436712,5.44450632192295,"[25,29)"
"40886",28,3790,1,">10","Female","Petrol","Twice","Private","No","No","MTPL","<66",1004.1670902,5.79913898356846,50.7436327295674,6.91191371090665,"[25,29)"
"40899",43,4040,1,"2-5","Female","Gasoil","Once","Private","No","No","MTPL+","66-110",1398.7887922,5.61386402329344,50.6794631627318,7.24336199271789,"[42,46)"
"40922",27,4350,1,"2-5","Female","Gasoil","Twice","Private","No","No","MTPL","<66",117.60068815,5.32984503224966,50.6844382532371,4.76729488706305,"[25,29)"
"40932",70,4540,1,">10","Female","Petrol","Twice","Private","No","No","MTPL","<66",3113.5178818,5.30087505693897,50.5529367432276,8.0435085176074,"[65,100]"
"40949",76,4860,1,"6-10","Female","Petrol","Once","Private","No","No","MTPL+++","<66",322.26158221,5.78871943770039,50.5684867904789,5.77536358286464,"[65,100]"
"40954",51,4920,1,">10","Female","Gasoil","Twice","Private","No","No","MTPL","<66",197.67029665,5.69102614873746,50.4575470396329,5.28660047432626,"[50,56)"
"40956",74,5000,1,"2-5","Female","Petrol","Twice","Private","No","No","MTPL+++","66-110",477.66603289,4.8594592952501,50.4614444975032,6.16891181234132,"[65,100]"
